source,hypothesis,specification,parameter_setting,term,estimate,estimate_percentage_points,std_error,ci_low,ci_high,ci_low_percentage_points,ci_high_percentage_points,z_value,p_value_two_sided,is_behavior_term,reference_category,sample_variant,p_value_holm,significant_raw_0_05,significant_holm_0_05
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_6-24h,0.00896637791115799,0.896637791115799,0.009781247265937818,-0.010204514453961006,0.028137270276276986,-1.0204514453961004,2.8137270276276984,0.9166906497070648,0.35930476716460413,True,<=5m,authoritative_ge5m,1.0,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_>24h,-0.01691585133592306,-1.691585133592306,0.009884118389625968,-0.03628836739852,0.0024566647266738746,-3.628836739852,0.24566647266738745,-1.7114173130177557,0.08700410341027838,True,<=5m,authoritative_ge5m,0.5220246204616703,False,False
NA,H3_recent_volume,adjusted,6h_window,recent_games_1,-0.015673984320251456,-1.5673984320251455,0.00824195154534416,-0.03182791251145025,0.0004799438709473386,-3.182791251145025,0.04799438709473386,-1.9017321606441155,0.05720617912899029,True,0 recent ranked games,authoritative_ge5m,0.3432370747739417,False,False
NA,H3_recent_volume,adjusted,6h_window,recent_games_2,-0.016043912692190434,-1.6043912692190434,0.008585660240713633,-0.032871497547486646,0.000783672163105778,-3.2871497547486648,0.0783672163105778,-1.8686871180983138,0.061666357266296865,True,0 recent ranked games,authoritative_ge5m,0.3432370747739417,False,False
NA,H3_recent_volume,adjusted,6h_window,recent_games_3,-0.010914054976832307,-1.0914054976832308,0.008817384936753709,-0.02819581189069556,0.006367701937030944,-2.819581189069556,0.6367701937030944,-1.2377881940187279,0.21579460713948245,True,0 recent ranked games,authoritative_ge5m,0.5990702239568405,False,False
NA,H3_recent_volume,adjusted,6h_window,recent_games_4,-0.01249795063622505,-1.249795063622505,0.009028413572815641,-0.030193316076476302,0.005197414804026199,-3.01933160764763,0.5197414804026199,-1.384290887366537,0.1662694031830036,True,0 recent ranked games,authoritative_ge5m,0.5990702239568405,False,False
NA,H3_recent_volume,adjusted,6h_window,recent_games_5,-0.014297094775989623,-1.4297094775989623,0.009926104820034018,-0.033751902730025735,0.0051577131780464885,-3.3751902730025733,0.5157713178046488,-1.440352991954464,0.14976755598921013,True,0 recent ranked games,authoritative_ge5m,0.5990702239568405,False,False
NA,H3_recent_volume,adjusted,6h_window,recent_games_6+,-0.009388677986747057,-0.9388677986747057,0.009462413227786393,-0.02793466712004379,0.009157311146549676,-2.793466712004379,0.9157311146549676,-0.9922075648923456,0.321096283008721,True,0 recent ranked games,authoritative_ge5m,0.5990702239568405,False,False
KR,H1_session_depth,adjusted,30m_session_boundary,session_depth_2,0.006895658106099851,0.6895658106099851,0.007173184641427995,-0.007163525445554881,0.020954841657754582,-0.716352544555488,2.095484165775458,0.9613105546279518,0.33639604256080496,True,session depth 1,authoritative_ge10m,0.8998813212141012,False,False
KR,H1_session_depth,adjusted,30m_session_boundary,session_depth_3,0.006886274275797961,0.6886274275797961,0.007319124269338554,-0.007458945690478642,0.021231494242074565,-0.7458945690478642,2.1231494242074564,0.9408604120367381,0.34677639718185765,True,session depth 1,authoritative_ge10m,0.8998813212141012,False,False
KR,H1_session_depth,adjusted,30m_session_boundary,session_depth_4,0.021190242049407202,2.1190242049407204,0.008315842568780936,0.00489149011349152,0.037488993985322884,0.489149011349152,3.7488993985322883,2.5481773944301103,0.010828739080774114,True,session depth 1,authoritative_ge10m,0.0758011735654188,True,False
KR,H1_session_depth,adjusted,30m_session_boundary,session_depth_5,0.01733359104978341,1.7333591049783408,0.008969536019955447,-0.000246376507364008,0.03491355860693082,-0.0246376507364008,3.491355860693082,1.9324958405005108,0.05329833495502021,True,session depth 1,authoritative_ge10m,0.26649167477510105,False,False
KR,H1_session_depth,adjusted,30m_session_boundary,session_depth_6,0.012750560137632216,1.2750560137632216,0.010507976562892093,-0.007844695476027272,0.0333458157512917,-0.7844695476027272,3.3345815751291705,1.2134172608130467,0.2249703303035253,True,session depth 1,authoritative_ge10m,0.8998813212141012,False,False
KR,H1_session_depth,adjusted,30m_session_boundary,session_depth_7,0.013912925100924116,1.3912925100924116,0.011692387822497026,-0.00900373392444476,0.03682958412629299,-0.900373392444476,3.682958412629299,1.1899130709772225,0.2340805604832738,True,session depth 1,authoritative_ge10m,0.8998813212141012,False,False
KR,H1_session_depth,adjusted,30m_session_boundary,session_depth_8+,0.021198532977920802,2.1198532977920803,0.00894067551401559,0.00367513097299111,0.038721934982850495,0.36751309729911097,3.8721934982850494,2.3710214004176233,0.017739003952109943,True,session depth 1,authoritative_ge10m,0.10643402371265966,True,False
KR,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_5-10m,-0.006419616594132614,-0.6419616594132614,0.0071486909495610575,-0.020430793391879726,0.007591560203614499,-2.0430793391879725,0.7591560203614499,-0.8980128864749413,0.36917867936101917,True,<=5m,authoritative_ge10m,1.0,False,False
KR,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_10-20m,-0.016606758125758212,-1.6606758125758212,0.009025797124405805,-0.03429699542135878,0.0010834791698423538,-3.429699542135878,0.10834791698423538,-1.8399214935657535,0.06577976396502892,True,<=5m,authoritative_ge10m,0.5262381117202314,False,False
KR,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_20-30m,0.00818991991943915,0.818991991943915,0.013137103047016168,-0.017558328913903944,0.033938168752782244,-1.7558328913903944,3.3938168752782243,0.6234190209308991,0.5330092017267627,True,<=5m,authoritative_ge10m,1.0,False,False
KR,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_30-60m,-0.006927986262471234,-0.6927986262471234,0.012315420494696912,-0.031065766886543635,0.01720979436160117,-3.1065766886543633,1.720979436160117,-0.5625456528629666,0.5737443082605747,True,<=5m,authoritative_ge10m,1.0,False,False
KR,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_1-2h,0.0036384761642529154,0.36384761642529156,0.012560381037855447,-0.020979418302043588,0.028256370630549418,-2.0979418302043586,2.8256370630549417,0.28967880459095907,0.7720619728905306,True,<=5m,authoritative_ge10m,1.0,False,False
KR,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_2-6h,-0.006643110621943365,-0.6643110621943364,0.012431650953716794,-0.031008698759601296,0.017722477515714565,-3.1008698759601296,1.7722477515714565,-0.5343707482357537,0.5930850529993497,True,<=5m,authoritative_ge10m,1.0,False,False
KR,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_6-24h,0.010121156454585155,1.0121156454585156,0.010367386840452382,-0.010198548366496018,0.03044086127566633,-1.0198548366496019,3.044086127566633,0.9762495226949125,0.3289408274706831,True,<=5m,authoritative_ge10m,1.0,False,False
KR,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_>24h,-0.0031755384830355017,-0.31755384830355016,0.01076131534647637,-0.02426732898840736,0.017916252022336356,-2.426732898840736,1.7916252022336356,-0.2950883215289554,0.7679264107894183,True,<=5m,authoritative_ge10m,1.0,False,False
KR,H3_recent_volume,adjusted,6h_window,recent_games_1,-0.007324640918002336,-0.7324640918002336,0.00819444428601402,-0.023385456591909853,0.00873617475590518,-2.3385456591909852,0.873617475590518,-0.8938545021904374,0.37139974371241785,True,0 recent ranked games,authoritative_ge10m,1.0,False,False
KR,H3_recent_volume,adjusted,6h_window,recent_games_2,-0.004401402373689351,-0.4401402373689351,0.008579929401558441,-0.021217754990640193,0.012414950243261494,-2.1217754990640194,1.2414950243261493,-0.5129881806358324,0.6079595884755531,True,0 recent ranked games,authoritative_ge10m,1.0,False,False
KR,H3_recent_volume,adjusted,6h_window,recent_games_3,-0.002196236563537211,-0.2196236563537211,0.008758612086808901,-0.019362800808239863,0.014970327681165442,-1.9362800808239864,1.4970327681165443,-0.25075166496355067,0.8020061135505089,True,0 recent ranked games,authoritative_ge10m,1.0,False,False
KR,H3_recent_volume,adjusted,6h_window,recent_games_4,0.0025621016301502326,0.25621016301502325,0.009022227321821275,-0.015121138980952733,0.020245342241253197,-1.5121138980952733,2.0245342241253197,0.28397662115578715,0.7764282970246115,True,0 recent ranked games,authoritative_ge10m,1.0,False,False
KR,H3_recent_volume,adjusted,6h_window,recent_games_5,-0.015844675921056126,-1.5844675921056126,0.00955258925568828,-0.03456740682130943,0.002878054979197183,-3.456740682130943,0.2878054979197183,-1.6586786573725127,0.0971805623084743,True,0 recent ranked games,authoritative_ge10m,0.5830833738508459,False,False
KR,H3_recent_volume,adjusted,6h_window,recent_games_6+,-0.0006458611154634556,-0.06458611154634555,0.009020095587999826,-0.01832492360505176,0.017033201374124847,-1.832492360505176,1.7033201374124847,-0.07160246908277754,0.9429182750774561,True,0 recent ranked games,authoritative_ge10m,1.0,False,False
KR,H1_session_depth,adjusted,30m_session_boundary,session_depth_2,0.007378673837542254,0.7378673837542254,0.007168778238616182,-0.0066718733232999485,0.021429220998384457,-0.6671873323299948,2.1429220998384455,1.0292791312465803,0.3033485268437466,True,session depth 1,alias_confirmed_ge10m,0.8588563592978583,False,False
KR,H1_session_depth,adjusted,30m_session_boundary,session_depth_3,0.007213517949755719,0.7213517949755719,0.007320483807435405,-0.007134366662226322,0.02156140256173776,-0.7134366662226322,2.156140256173776,0.9853881436673569,0.32443345123107536,True,session depth 1,alias_confirmed_ge10m,0.8588563592978583,False,False
KR,H1_session_depth,adjusted,30m_session_boundary,session_depth_4,0.021474798378701893,2.1474798378701894,0.008326665696933593,0.005154833501406941,0.037794763255996844,0.5154833501406941,3.7794763255996844,2.5790393370314213,0.009907550377061161,True,session depth 1,alias_confirmed_ge10m,0.06935285263942813,True,False
KR,H1_session_depth,adjusted,30m_session_boundary,session_depth_5,0.01786914961068349,1.786914961068349,0.008969582936731287,0.0002890900983451572,0.035449209123021824,0.02890900983451572,3.5449209123021825,1.9921940336275437,0.04634977262314741,True,session depth 1,alias_confirmed_ge10m,0.23174886311573706,True,False
KR,H1_session_depth,adjusted,30m_session_boundary,session_depth_6,0.012441983519355836,1.2441983519355837,0.010516271683199761,-0.008169530231354107,0.033053497270065776,-0.8169530231354107,3.3053497270065777,1.1831173531996602,0.23676264134194727,True,session depth 1,alias_confirmed_ge10m,0.8588563592978583,False,False
