source,depth_bucket_num,n,wins,mean_kda,mean_damage_per_min,threshold_minutes,session_depth,win_rate,win_rate_ci_low,win_rate_ci_high
NA,5,5764,3049,3.9590499404848822,705.5732961511255,30,5,0.528972935461485,0.5160716900245919,0.5418355881807093
EU,2,195318,103121,3.8814622103653766,728.4669117323044,30,2,0.5279646525153852,0.5257501801803173,0.5301780248704377
KR,1,46154,24242,3.945917315651933,685.4480678800712,30,1,0.5252415825280582,0.5206839269733009,0.5297950366515186
KR,7,2876,1534,3.8747722619504055,697.5672707782433,30,7,0.5333796940194715,0.5151144643603439,0.5515558724430664
KR,8,7466,4016,3.8947115213530776,700.6202363515649,30,8+,0.5379051701044736,0.5265796124096708,0.5491917413894977
EU,2,191116,100760,3.8814340413903348,727.9662793580377,45,2,0.5272190711400406,0.5249802114083154,0.5294568366793458
KR,1,42158,22217,3.9566539947735513,684.6345716564437,45,1,0.5269936904027706,0.5222255546715019,0.5317569072241192
KR,7,3261,1744,3.8813651179505992,704.763813654204,45,7,0.5348052744556885,0.5176549717597554,0.5518736723913134
KR,8,9778,5230,3.88669707760336,700.5136838388574,45,8+,0.5348742074043772,0.524976136294346,0.5447448873872444
NA,5,6301,3316,3.9369738002797887,706.7096635601707,45,5,0.5262656721155372,0.5139248278988586,0.5385745096597281
EU,3,116273,61433,3.8411903442479827,732.1015081840775,45,3,0.528351379942033,0.5254811680687147,0.5312197185161253
EU,4,75592,40006,3.8342679244147444,736.325074529403,45,4,0.529235897978622,0.5256762521749324,0.5327925724945793
EU,6,35950,19097,3.8554709304142576,739.492060665556,45,6,0.5312100139082059,0.5260484835179251,0.5363648750816044
KR,5,6595,3534,3.852039002079253,698.4431377680284,45,5,0.5358605003790751,0.5238068705805888,0.5478723784136023
NA,7,3133,1651,3.9033870338025825,706.4469099776144,45,7,0.5269709543568465,0.5094660374612263,0.5444098125677184
NA,1,46227,24159,3.9257637711375577,704.5771552010283,45,1,0.5226166526056201,0.5180616702304647,0.5271678764102236
NA,8,9982,5267,3.9023902261178054,704.2633759691487,45,8+,0.5276497695852534,0.517847368563087,0.5374308973974052
EU,1,358625,188213,3.88514025891576,722.3053553501336,45,1,0.5248184036249565,0.5231837322479089,0.5264525433165148
EU,7,25671,13626,3.854911876295396,741.8650833250947,45,7,0.5307935023956994,0.5246845491502514,0.5368932410197769
EU,8,73601,38965,3.8096810582309746,738.3083445731689,45,8+,0.529408567818372,0.5258011433404655,0.5330129226122737
KR,2,22936,12009,3.9058248753256306,687.6506927228387,45,2,0.5235873735612138,0.5171203488998571,0.5300464984361323
NA,3,14756,7803,3.9421961210606535,715.7738354196069,45,3,0.5288018433179723,0.5207413842138238,0.5368473102427842
NA,4,9383,4902,3.9211337008751515,709.7878090915628,45,4,0.5224341894916338,0.512320366400109,0.5325296507059529
NA,6,4409,2352,4.119763087591426,719.575907725043,45,6,0.5334542980267635,0.5187059321360652,0.5481444187666018
EU,5,51531,27539,3.854198089913845,741.3798611225661,45,5,0.5344161766703538,0.53010699242411,0.5387202300838754
