champion_a_id,champion_a,champion_b_id,champion_b,games_together,pair_win_rate,appearances_a,win_rate_a,appearances_b,win_rate_b,lift,association,win_surplus_pp,pair
43,Karma,202,Jhin,4620,0.5021645021645021,50106,0.49706621961441744,56551,0.494880727131262,1.4283084575735427,0.5143075775154723,0.6191028791662445,Karma + Jhin
202,Jhin,432,Bard,4565,0.511500547645126,56551,0.494880727131262,46456,0.5078784225934218,1.522189546672923,0.6061480178549356,1.0120972782784121,Jhin + Bard
126,Jayce,145,Kaisa,4552,0.476713532513181,53037,0.48963930840733827,75494,0.48803878453916866,0.9959118993341597,-0.005909971083390299,-1.2125513960072498,Jayce + Kaisa
201,Braum,236,Lucian,4503,0.48967355096602266,36005,0.5091515067351756,47458,0.49201399131863965,2.3085524976340697,1.2069885403643914,-1.0909198060885028,Braum + Lucian
131,Diana,267,Nami,4337,0.5273230343555453,51789,0.5078684662766224,66358,0.5089363754181861,1.105525244687747,0.1447319694960549,1.8920613508141004,Diana + Nami
145,Kaisa,238,Zed,4324,0.4877428307123034,75494,0.48803878453916866,49101,0.506710657624081,1.021863687963533,0.031202760057332343,-0.9631890369321439,Kaisa + Zed
517,Sylas,804,Yunara,4318,0.4856415006947661,70160,0.4948973774230331,49114,0.4805147208535245,1.0977357474563287,0.13453080323461275,-0.20645484435126704,Sylas + Yunara
145,Kaisa,555,Pyke,4201,0.4927398238514639,75494,0.48803878453916866,28251,0.4989557891756044,1.7255060047670323,0.7870194943660368,-0.07574630059226095,Kaisa + Pyke
236,Lucian,902,Milio,4189,0.4865122941036047,47458,0.49201399131863965,33076,0.4944370540573225,2.337749649044596,1.2251204390994048,-0.6713228584376396,Lucian + Milio
517,Sylas,799,Ambessa,4184,0.4818355640535373,70160,0.4948973774230331,53918,0.4855335880410995,0.9688987073279864,-0.0455822466609119,-0.8379918678528997,Sylas + Ambessa
126,Jayce,517,Sylas,4167,0.4857211423086153,53037,0.48963930840733827,70160,0.4948973774230331,0.9809910043437113,-0.027688187849801316,-0.654720060657038,Jayce + Sylas
64,LeeSin,145,Kaisa,4144,0.4893822393822394,40552,0.5024906293154469,75494,0.48803878453916866,1.185782637726902,0.24583957800102432,-0.5882467545068326,LeeSin + Kaisa
81,Ezreal,517,Sylas,4108,0.47468354430379744,46856,0.4734505719651699,70160,0.4948973774230331,1.094676257921356,0.13050426695024697,-0.9490430390304061,Ezreal + Sylas
145,Kaisa,234,Viego,4082,0.47060264576188143,75494,0.48803878453916866,43775,0.4845231296402056,1.0820428614286797,0.11375764772838359,-1.5678311327805672,Kaisa + Viego
145,Kaisa,412,Thresh,4037,0.5006192717364379,75494,0.48803878453916866,41458,0.5124222104298326,1.1299208453046803,0.17622171061726447,0.0388774251937285,Kaisa + Thresh
145,Kaisa,246,Qiyana,4032,0.5101686507936508,75494,0.48803878453916866,42017,0.5131970392936193,1.1135073840148666,0.15511112511834613,0.9550738877256881,Kaisa + Qiyana
145,Kaisa,157,Yasuo,4018,0.48755599800895966,75494,0.48803878453916866,48865,0.5000716259081142,0.9541346062168027,-0.06773528355955406,-0.6499207214681779,Kaisa + Yasuo
81,Ezreal,432,Bard,4011,0.49339316878583894,46856,0.4734505719651699,46456,0.5078784225934218,1.6141938684652843,0.6908138600759667,0.2728671506543101,Ezreal + Bard
111,Nautilus,517,Sylas,3981,0.4878171313740266,51925,0.4958883004333173,70160,0.4948973774230331,0.9572737442006138,-0.0629965547864536,-0.7575707554148603,Nautilus + Sylas
145,Kaisa,266,Aatrox,3936,0.4723069105691057,75494,0.48803878453916866,42502,0.48522422474236504,1.07459135251913,0.10378813350945977,-1.43245940716612,Kaisa + Aatrox
117,Lulu,523,Aphelios,3902,0.48564838544336236,41724,0.5008388457482504,42113,0.5008429701042434,1.9453385959455631,0.9600212853795568,-1.5192522482884552,Lulu + Aphelios
236,Lucian,517,Sylas,3883,0.49163018284831317,47458,0.49201399131863965,70160,0.4948973774230331,1.0215942351811478,0.030822289100968632,-0.18255015225231985,Lucian + Sylas
157,Yasuo,267,Nami,3848,0.507016632016632,48865,0.5000716259081142,66358,0.5089363754181861,1.0395704533971208,0.055987535322125664,0.2512631353481898,Yasuo + Nami
157,Yasuo,517,Sylas,3834,0.4903495044340115,48865,0.5000716259081142,70160,0.4948973774230331,0.979658431106762,-0.029649269787073156,-0.7134997231562135,Yasuo + Sylas
134,Syndra,267,Nami,3830,0.5114882506527415,47966,0.513738898386357,66358,0.5089363754181861,1.0541005455685122,0.07601248526234902,0.01506137504699856,Syndra + Nami
131,Diana,145,Kaisa,3826,0.48980658651332987,51789,0.5078684662766224,75494,0.48803878453916866,0.8572451940376314,-0.22222018386586528,-0.8147038894565695,Diana + Kaisa
238,Zed,267,Nami,3814,0.5159937073938122,49101,0.506710657624081,66358,0.5089363754181861,1.02543259681646,0.03623266448036795,0.8170190872678673,Zed + Nami
21,MissFortune,111,Nautilus,3812,0.5083945435466947,56217,0.5084227191063202,51925,0.4958883004333173,1.1439809071233522,0.19406297394469618,0.6239033776875957,MissFortune + Nautilus
517,Sylas,904,Zaahen,3781,0.5033060037027242,70160,0.4948973774230331,44620,0.5074181981174362,1.0580290360203763,0.08137922059730075,0.21482159324894834,Sylas + Zaahen
134,Syndra,145,Kaisa,3760,0.5023936170212766,47966,0.513738898386357,75494,0.48803878453916866,0.9096031598958216,-0.1366908288299003,0.15047755585138045,Syndra + Kaisa
245,Ekko,267,Nami,3746,0.5184196476241324,47481,0.5046018407362945,66358,0.5089363754181861,1.0415129714697327,0.058680807461632595,1.1650539546892102,Ekko + Nami
267,Nami,799,Ambessa,3719,0.47996773326162945,66358,0.5089363754181861,53918,0.4855335880410995,0.910561264208387,-0.13517200728855822,-1.7267248468013363,Nami + Ambessa
54,Malphite,145,Kaisa,3713,0.48855373013735526,44701,0.49649895975481534,75494,0.48803878453916866,0.9638408503829545,-0.053133146895185134,-0.37151420096367405,Malphite + Kaisa
51,Caitlyn,517,Sylas,3687,0.48603200433957144,47481,0.49103852067142645,70160,0.4948973774230331,0.9695579137854506,-0.0446010186949021,-0.6935944707658293,Caitlyn + Sylas
145,Kaisa,904,Zaahen,3680,0.5114130434782609,75494,0.48803878453916866,44620,0.5074181981174362,0.9570086678561743,-0.06339610328318065,1.368455214995845,Kaisa + Zaahen
51,Caitlyn,432,Bard,3672,0.5239651416122004,47481,0.49103852067142645,46456,0.5078784225934218,1.4583140426282808,0.5443014322544938,2.450666997977635,Caitlyn + Bard
43,Karma,517,Sylas,3659,0.4930308827548511,50106,0.49706621961441744,70160,0.4948973774230331,0.9117864847162556,-0.13323207039333193,-0.29509157638741845,Karma + Sylas
21,MissFortune,526,Rell,3653,0.5116342732001095,56217,0.5084227191063202,25921,0.49805177269395473,2.196040319786883,1.134904542786911,0.8397027299971938,MissFortune + Rell
61,Orianna,145,Kaisa,3649,0.502055357632228,38055,0.4959926422283537,75494,0.48803878453916866,1.1126530318410737,0.15400377481597072,1.0039644248466817,Orianna + Kaisa
432,Bard,517,Sylas,3636,0.5033003300330033,46456,0.5078784225934218,70160,0.4948973774230331,0.9772429286087506,-0.03321085476701303,0.1912430024775924,Bard + Sylas
29,Twitch,117,Lulu,3633,0.5067437379576107,26254,0.4982097966024225,41724,0.5008388457482504,2.9053204136427087,1.5386972802157852,0.7219416782274279,Twitch + Lulu
12,Alistar,145,Kaisa,3633,0.5039911918524635,29237,0.5009063857440914,75494,0.48803878453916866,1.4418836216146649,0.5279547254005228,0.9518606710833488,Alistar + Kaisa
54,Malphite,267,Nami,3615,0.5134163208852005,44701,0.49649895975481534,66358,0.5089363754181861,1.067598193164249,0.09436876893348425,1.069865329869979,Malphite + Nami
18,Tristana,517,Sylas,3612,0.49806201550387597,39700,0.5080856423173804,70160,0.4948973774230331,1.1359983743526851,0.1839607703047451,-0.34294943663307764,Tristana + Sylas
111,Nautilus,799,Ambessa,3576,0.4667225950782998,51925,0.4958883004333173,53918,0.4855335880410995,1.1189154893333542,0.16210107498818782,-2.3988349158908626,Nautilus + Ambessa
59,JarvanIV,145,Kaisa,3564,0.4882154882154882,39630,0.5032551097653293,75494,0.48803878453916866,1.0435451442947965,0.061493013570522705,-0.7431458936760782,JarvanIV + Kaisa
126,Jayce,267,Nami,3559,0.49789266647934816,53037,0.48963930840733827,66358,0.5089363754181861,0.8858614536841296,-0.17484701203525704,-0.13951754334140531,Jayce + Nami
111,Nautilus,126,Jayce,3558,0.48622821810005623,51925,0.4958883004333173,53037,0.48963930840733827,1.131776164583606,0.17858865942753313,-0.6535586320271514,Nautilus + Jayce
222,Jinx,902,Milio,3546,0.5019740552735477,42397,0.5093520767978866,33076,0.4944370540573225,2.2151374333847205,1.1473962104334348,0.00794898459430815,Jinx + Milio
145,Kaisa,245,Ekko,3522,0.49744463373083475,75494,0.48803878453916866,47481,0.5046018407362945,0.8607303427538812,-0.21636676679513395,0.11243210931031755,Kaisa + Ekko
517,Sylas,901,Smolder,3496,0.47282608695652173,70160,0.4948973774230331,45511,0.4903649667113445,0.9591256835748883,-0.06020821688125546,-1.9805085110667031,Sylas + Smolder
54,Malphite,157,Yasuo,3496,0.494279176201373,44701,0.49649895975481534,48865,0.5000716259081142,1.4020591546125734,0.4875472197235976,-0.4006116630091705,Malphite + Yasuo
21,MissFortune,904,Zaahen,3491,0.4895445431108565,56217,0.5084227191063202,44620,0.5074181981174362,1.219165521973997,0.2858940090753771,-1.837591550102169,MissFortune + Zaahen
126,Jayce,202,Jhin,3491,0.5081638498997422,53037,0.48963930840733827,56551,0.494880727131262,1.0196254444477628,0.028039280944874755,1.5903832130441997,Jayce + Jhin
