source,volume_bucket_num,n,wins,mean_kda,median_kda,mean_damage_per_min,mean_cs_per_min,mean_gold_per_min,window_hours,recent_games,win_rate,win_rate_ci_low,win_rate_ci_high
NA,4,9105,4715,3.901318083174124,2.5,710.9737435141769,6.0682592095489865,413.143575791827,24,4,0.5178473366282262,0.5075783348162449,0.528101284976158
NA,6,49493,26043,3.9881444383300138,2.5555555555555554,703.976574998086,6.11154112913876,415.1148248162872,24,6+,0.5261956236235428,0.5217948075143479,0.53059237363856
NA,3,10579,5560,3.8979604495710256,2.5,709.1115478530273,6.0257436684771974,411.7681590551939,24,3,0.5255695245297287,0.5160465632903759,0.5350739228385251
EU,0,89720,46797,3.809565848391083,2.5,713.599841136598,5.934804440912775,413.47450170306513,24,0,0.5215893892108783,0.5183198861162682,0.5248570436385506
EU,5,64633,34225,3.84899616810086,2.5,729.8902194252693,6.172029735127596,421.39728632839416,24,5,0.529528259557811,0.525678643296548,0.5333743660066953
KR,3,9356,4888,3.8255191424566855,2.5,689.5784262316031,5.935093447023182,408.31571051507746,24,3,0.5224454895254382,0.512317081825771,0.5325554731045472
KR,4,8461,4458,3.904265192232411,2.5714285714285716,693.9414353629372,5.983256993143185,410.72022960035656,24,4,0.5268880746956625,0.5162398292757918,0.5375119157761928
KR,6,51558,27336,3.890236098719159,2.5555555555555554,698.1367312927333,6.104888711606682,414.4947833005973,24,6+,0.5301989991853835,0.5258889013974222,0.5345045972034175
NA,2,12201,6407,3.895365784512291,2.5,708.7126193138345,6.002714452227082,410.3345969115399,24,2,0.5251208917301861,0.5162536040807143,0.533972365840179
EU,3,75373,39595,3.8615915435717287,2.5,726.3360117348656,6.081282317186317,418.9550754628181,24,3,0.525320738195375,0.5217545953560275,0.5288843001737787
EU,4,70136,37103,3.8469829549323475,2.5,730.0518398190857,6.140774757573964,420.9205316386912,24,4,0.5290150564617315,0.5253194130945678,0.5327075216025903
EU,6,458265,242394,3.8887103692906613,2.5,735.1699855394527,6.250353495426329,426.3340073302565,24,6+,0.5289384962849006,0.5274930491326733,0.5303834582806795
KR,0,13015,6881,4.001313676330165,2.625,673.8938417981981,5.844789587393766,403.72600773167255,24,0,0.5286976565501345,0.5201145540792969,0.5372638234332339
KR,5,7689,4060,3.8328721403573334,2.5,699.003136960591,6.021193537212776,412.17251950393893,24,5,0.5280270516322019,0.5168574883419466,0.5391686240259108
NA,1,14316,7540,3.8922462116990526,2.5,714.4147919248253,5.960358002162599,411.23649445079377,24,1,0.5266834311260129,0.5184985982260236,0.53485394776389
