source,depth_bucket_num,n,wins,mean_kda,median_kda,mean_damage_per_min,mean_cs_per_min,mean_gold_per_min,history_scope,threshold_minutes,session_depth,win_rate,win_rate_ci_low,win_rate_ci_high
NA,2,25325,13256,3.9358319586304185,2.5,706.950153137772,6.01131887569802,411.83678588566414,solo420_only,30,2,0.5234353405725568,0.5172809674188403,0.5295826051582873
EU,2,195491,103221,3.882431792781531,2.5,728.4818997012268,6.143145626663471,421.3953573730138,solo420_only,30,2,0.5280089620494038,0.5257954801458117,0.5302213432050323
KR,1,46245,24289,3.94505910708379,2.6,685.4160592460703,5.98265495218914,408.81579260365476,solo420_only,30,1,0.5252243485782246,0.5206711746533739,0.5297733322015117
KR,7,2859,1524,3.8698390125110445,2.5,698.5656263656273,6.1057302348202205,413.8298540363415,solo420_only,30,7,0.5330535152151101,0.5147336454399224,0.5512846803104164
KR,8,7413,3982,3.8941418996903745,2.5555555555555554,700.3322110010663,6.0160085570859065,415.44747196655163,solo420_only,30,8+,0.5371644408471604,0.525797534876446,0.5484928491177686
NA,5,5719,3023,3.9561567274656992,2.5714285714285716,706.205387608596,6.049362849821503,415.26308154956683,solo420_only,30,5,0.5285889141458296,0.5156366536945007,0.5415027939650163
EU,3,113172,59839,3.83760907017013,2.5,733.0601564890401,6.183032245282693,423.3771706193402,solo420_only,30,3,0.5287438589050295,0.5258346955992168,0.5316510709401663
EU,4,70393,37202,3.8350571032157443,2.5,737.0333683366644,6.211692465582512,425.27613322029845,solo420_only,30,4,0.5284900487264359,0.5248009655999867,0.5321760225273325
EU,6,31066,16558,3.8477012671362885,2.5,741.5674865687176,6.233196555212833,427.2825969082669,solo420_only,30,6,0.5329942702633104,0.5274426429216688,0.5385377388165846
KR,5,6040,3243,3.829186808746486,2.5,701.7505934923116,6.054675806209206,413.4483299110898,solo420_only,30,5,0.5369205298013245,0.5243259109426821,0.5494682153656918
NA,7,2663,1400,3.931018898543085,2.5,708.0150239713583,6.142859155121377,416.8183224888048,solo420_only,30,7,0.5257228689447991,0.5067342614352239,0.5446373713053976
NA,1,50480,26358,3.9253497800033896,2.5,705.2613854709629,6.052012233055263,411.53389002092945,solo420_only,30,1,0.5221473851030111,0.5177884198973355,0.5265029797938685
NA,8,7681,4042,3.805736759391966,2.5,702.5958115748109,6.143947007163925,415.53211745020343,solo420_only,30,8+,0.526233563338107,0.5150568990708687,0.5373840006092977
EU,1,396598,208096,3.8826846685977863,2.5,722.7289761049639,6.101798245894919,419.1267841389686,solo420_only,30,1,0.5247025955753685,0.5231481450134546,0.5262565676019163
EU,7,21441,11390,3.846928162293769,2.5,744.5321337998457,6.256002753564803,427.978292063087,solo420_only,30,7,0.531225222704165,0.524540677837591,0.5378985806932406
EU,8,54083,28714,3.8055606895547225,2.5,739.7612510878482,6.222535625626699,428.06001086495655,solo420_only,30,8+,0.5309246898285968,0.5267167760266677,0.5351282108459107
